"entry_date","Source_ID","data_id_code","data_type","band_layer_name","in_class_field_name","in_class_value","in_class_description","in_class_description_detail","out_class_value","efg_code","efg_name","efg_description","get_link","mapping","EFG_out_membership_proportion","crosswalked_by","status","review_needed","reviewed","review_by","GET_version","Comment","crosswalk_acknowledgement","band_no","band_ID"
"2024/05/16 00:00:00",69,"nsidc_nhemis_seaice_2024","raster","N_202403_extent_v3.0.tif","Raster code","1","sea ice","Areas where the mean concentration of ice in the sea exceeds 15% for the month",139,"M2.5","Sea ice","These seasonally frozen surface waters in polar oceans are one of the most dynamic ecosystems on earth. The sea-ice itself provides habitat for ice-dependent species, such as the microalgal and microbial communities that form the basis of communities in waters below, while plankton, fish and marine birds and mammals feed on and around the ice. Sea-ice plays a crucial role in both pelagic marine ecosystems and biogeochemical processes like ocean-atmosphere gas exchange.","https://global-ecosystems.org/explore/groups/M2.5","ValueToValue",,"Naema_GrosDubois","final",,NA,NA,2.1,NA,NA,"001","0069001"
"2024/05/16 00:00:00",69,"nsidc_nhemis_seaice_2024","raster","N_202403_extent_v3.0.tif","Raster code","0","ocean","No further information",255,"NA","No Data","No Data",NA,"ValueToValue",,"Naema_GrosDubois","final",,NA,NA,2.1,NA,NA,"001","0069001"
"2024/05/16 00:00:00",69,"nsidc_nhemis_seaice_2024","raster","N_202403_extent_v3.0.tif","Raster code","253","coastline","No further information",255,"NA","No Data","No Data",NA,"ValueToValue",,"Naema_GrosDubois","final",,NA,NA,2.1,NA,NA,"001","0069001"
"2024/05/16 00:00:00",69,"nsidc_nhemis_seaice_2024","raster","N_202403_extent_v3.0.tif","Raster code","254","land","No further information",255,"NA","No Data","No Data",NA,"ValueToValue",,"Naema_GrosDubois","final",,NA,NA,2.1,NA,NA,"001","0069001"
"2024/05/16 00:00:00",69,"nsidc_nhemis_seaice_2024","raster","N_202403_extent_v3.0.tif","Raster code","255","missing","No further information",0,"0","No Data","No Data",NA,"ValueToValue",,"Naema_GrosDubois","final",,NA,NA,2.1,NA,NA,"001","0069001"
